model,accuracy,precision,recall,f1,roc_auc
lightgbm,0.7032746451155835,0.28336433956721824,0.9293513166345536,0.43430629549035793,0.8576009003046385
decision_tree,0.6983154469838104,0.27849703105227297,0.9187540141297367,0.4274295958765967,0.8455945222238098
logistic_regression,0.6407861247408885,0.25110387459984546,0.9739884393063584,0.39927157839308436,0.8385122073078416
random_forest,0.8665083571672221,0.35905245346869713,0.11357311068293727,0.17256241359681224,0.8318256610957973
xgboost,0.8774369604576107,0.0,0.0,0.0,0.8558955985995745
